14N 91W
40.8N 72.3E
39.1N 42.6E
40.9N 42.7E
33.0N 76.0E
1N 81.5W
23.6N 120.5E
37.75N 122.55W
33S 72W
18.2N 76.7W
38.5N 67.9E
38.15N 15.68E
33.4N 49.1E
40.75N 27.20E
37.82N 30.27E
41.98N 13.65E
9.0S 115.8E
28.0N 104.0E
23.5N 117.2E
36.5N 105.7E
31.3N 100.8E
35.2N 59.2E
35.3N 139.5E
25.7N 100.2E
35.8N 134.8E
37.5N 102.7E
37.85N 57.75E
38.15N 44.70E
41.05N 15.37E
12.15N 86.28W
39.2N 46.0E
46.8N 89.9E
39.25N 144.5E
32.0N 103.7E
26.5N 86.5E
24.3N 120.8E
29.6N 66.5E
24.6N 120.8E
36.25S 72.25W
39.8N 39.38E
45.8N 26.7E
40.9N 36.5E
35.5N 134.2E
40.97N 33.22E
31.5S 68.6W
41.11N 33.22E
34.7N 137.0E
24.9N 63.5E
39.33N 41.10E
8.5S 77.5W
33.0N 135.6E
36.1N 136.2E
37.95N 58.32E
39.2N 70.8E
1.5S 78.25W
28.7N 96.6E
13.0N 87.5W
40.01N 27.49E
36.28N 1.47E
36.14N 52.70E
34.35N 47.67E
30.45N 9.62W
38.29S 73.05W
35.6N 49.9E
42.1N 21.4E
37.35 114.92
37.5 115.1
39.1N 41.48E
33.9N 59.02E
21.61N 111.83E
24.12N 102.49E
39.06N 29.54E
9.36S 78.87W
38.83N 40.52E
28.4N 52.8E
12.4N 86.1W
28.2N 104.0E
35.0N 72.8E
40.6N 122.5E
38.5N 40.7E
15.3N 89.1W
46.4N 13.3E
39.6N 118.0E
6.3N 124.0E
39.1N 44.0E
45.8N 26.8E
33.2N 57.4E
36.1N 1.4E
40.9N 15.3E
29.9N 57.7E
30.0N 57.8E
14.7N 44.4E
40.3N 42.2E
18.2N 102.5W
13.8N 89.2W
0.2N 77.8W
26.8N 86.6E
41.0N 44.2E
37.0N 49.4E
15.7N 121.2E
30.8N 78.8E
8.5S 121.9E
18.1N 76.5E
34.6N 135E
52.6N 142.8E
33.9N 59.7E
37.1N 70.1E
37.1N 70.1E
2.96S 141.9E
4.46N 75.82W
40.7N 30.0E
23.7N 121.0E
23.3N 70.3E
35.9N 69.2E
36.90N 3.71E
28.99N 58.31E
3.30N 95.87E
2.07N 97.01E
34.53N 73.58E
